id_oferta,id_tecnologia
0,9
1,9
2,32
2,38
2,31
2,9
3,38
3,31
7,23
7,38
10,4
12,28
12,4
13,4
13,13
14,18
14,28
14,3
14,4
14,38
17,17
17,14
17,12
17,38
22,18
22,29
22,1
22,24
22,39
22,23
22,16
22,6
22,38
23,38
23,31
23,42
27,4
28,32
28,17
28,18
28,1
30,26
30,39
30,28
30,23
30,38
32,16
32,38
33,32
33,14
33,2
33,4
33,8
33,21
33,43
33,23
33,38
34,32
34,26
34,24
34,39
34,3
34,4
34,23
34,38
35,16
35,6
38,9
39,9
41,9
42,39
42,3
42,38
42,9
48,17
48,18
48,27
48,1
48,26
48,25
48,39
48,28
48,6
48,38
49,31
49,9
53,32
53,17
53,23
55,28
55,23
56,28
56,38
56,31
56,9
57,23
57,16
57,6
57,9
58,32
58,18
58,44
58,33
58,27
58,13
58,38
59,32
59,18
60,32
60,38
60,31
60,9
61,2
61,1
61,26
61,30
61,39
61,3
61,4
61,35
61,38
63,17
63,3
67,18
67,29
67,5
67,33
67,1
67,39
67,16
67,38
67,31
68,32
68,39
68,28
68,38
68,31
68,42
69,32
70,32
70,17
70,33
70,12
71,39
71,28
71,38
73,31
77,32
77,3
77,4
77,8
77,13
77,19
81,8
81,13
81,19
81,38
82,39
82,38
82,31
82,9
85,4
85,43
90,32
90,2
90,7
90,30
90,34
90,28
90,13
90,23
90,16
91,32
91,17
91,3
91,4
91,8
91,13
91,19
92,32
92,17
92,44
92,33
92,2
92,3
92,4
92,43
92,38
93,39
93,3
93,4
93,23
93,38
95,32
95,38
96,17
96,18
96,1
96,39
96,38
96,31
97,20
97,41
97,13
97,35
97,15
125,31
